Plot_No,Spacing,Instar,Date,Tmax,Tmin,Humidity,Rainfall,Photoperiod,Wind_Speed,THI,Dry_Bulb,Wet_Bulb,Net_Tech,Pests,Pebrine,Virosis,Bacteriosis,Muscardine
,,,,,,,,,,,,,,,,,,
17,8x8,02-03-2005,07-10-2025,26,24,87.3,0,11:05,0.1,34,26,24,3,U;M,0,0,0,0
17,8x8,02-03-2005,08-10-2025,25.4,22,82.9,0,11:05,0.1,33,25,23,3,U;M,0,0,0,0
17,8x8,02-03-2005,09-10-2025,25.5,25,81.2,0,11:20,2.1,33,26,25,3,At;U;M,0,0,0,0
17,8x8,02-03-2005,10-10-2025,24.5,26,79.9,0,11:40,1.5,34,25,24,3,M;U,0,0,0,0
17,8x8,02-03-2005,11-10-2025,25,24,77.6,0,11:42,1.6,36,25,24,2,M;U,0,0,0,0
17,8x8,02-03-2005,12-10-2025,26,21,60.8,0,11:45,2,32,26,21,2,M,0,0,0,0
17,8x8,02-03-2005,13-10-2025,25,20,65.8,0,11:30,2,30,25,20,2,M,0,0,0,0
17,8x8,02-03-2005,14-10-2025,25,20,70.4,0,11:35,2,30,25,20,2,M,0,0,0,0
17,8x8,02-03-2005,15-10-2025,26,20,75.4,0,11:40,2,31,26,20,2,M,0,0,0,0
17,8x8,02-03-2005,16-10-2025,26,25,91.5,0,11:42,2,32,26,25,2,A;U,0,0,0,0
17,8x8,02-03-2005,17-10-2025,27,25,85.5,0,11:50,0.5,33,27,25,2,At;M,0,0,0,0
17,8x8,02-03-2005,18-10-2025,28,26,90.1,0,11:50,0.5,33,28,26,2,At;M,0,0,0,0
17,8x8,02-03-2005,19-10-2025,29.5,23,81.7,0,11:35,0.5,33,29,23,2,At,0,0,0,0
17,8x8,02-03-2005,20-10-2025,31.3,23,85.6,0,11:30,0.5,33,31,23,2,At,0,0,0,0
17,8x8,02-03-2005,21-10-2025,31.7,25,76.7,0,11:20,0.5,34,31,25,2,At,0,0,0,0
17,8x8,02-03-2005,22-10-2025,28,22,79.9,0,11:20,2,32,28,22,1,,0,0,0,0
17,8x8,02-03-2005,23-10-2025,26,23,69.6,0,11:25,2,32,26,23,1,,0,0,0,0
17,8x8,02-03-2005,24-10-2025,28,21,61,0,11:30,2,31,28,21,1,,0,0,0,0
17,8x8,02-03-2005,25-10-2025,29,21,72.4,0,11:35,0.6,32,29,21,1,,0,0,0,0
17,8x8,02-03-2005,26-10-2025,24,21,70.8,0,11:40,0.6,31,24,21,1,,0,0,0,0
17,8x8,02-03-2005,27-10-2025,26,25,79.2,0,11:42,0.8,32,26,25,1,,0,0,0,0
17,8x8,02-03-2005,28-10-2025,27,26,80.5,0,11:45,0.8,32,27,26,1,,0,0,0,0
17,8x8,02-03-2005,29-10-2025,27,26,60.5,0,11:45,0.8,32,27,26,1,,0,0,0,0
17,8x8,02-03-2005,30-10-2025,27,26,60.7,0,11:30,1.2,32,27,26,1,,0,0,0,0
17,8x8,02-03-2005,31-10-2025,25,23,63.7,0,11:20,1.2,31,25,23,1,,0,0,0,0
18,12x12,03-04-2005,07-10-2025,25.6,23.2,79.5,0,,,,,,,,,,,
18,12x12,03-04-2005,08-10-2025,26.3,24,82.1,0,,,,,,,,,,,
18,12x12,03-04-2005,09-10-2025,25.6,21,74.2,0,,,,,,,,,,,
18,12x12,03-04-2005,10-10-2025,27.5,21,65.8,0,,,,,,,,,,,
18,12x12,03-04-2005,11-10-2025,26.5,21,75.1,0,,,,,,,,,,,
18,12x12,03-04-2005,12-10-2025,26.4,22,78.6,0,,,,,,,,,,,
18,12x12,03-04-2005,13-10-2025,25.2,22,80.1,0,,,,,,,,,,,
18,12x12,03-04-2005,14-10-2025,26.3,23,92.2,0,,,,,,,,,,,
21,8x8,01-03-2005,07-10-2025,25,22,86,0,,,,,,,,,,,
21,8x8,01-03-2005,08-10-2025,26,22,83,0,,,,,,,,,,,
21,8x8,01-03-2005,09-10-2025,25,23,81,0,,,,,,,,,,,
21,8x8,01-03-2005,10-10-2025,26,24,86,0,,,,,,,,,,,
21,8x8,01-03-2005,11-10-2025,23.6,24,66,0,,,,,,,,,,,
21,8x8,01-03-2005,12-10-2025,29,23,69,0,,,,,,,,,,,
21,8x8,01-03-2005,13-10-2025,26,23,72,0,,,,,,,,,,,
21,8x8,01-03-2005,14-10-2025,25,24,70,0,,,,,,,,,,,
21,8x8,01-03-2005,15-10-2025,29,24,80,0,,,,,,,,,,,
21,8x8,01-03-2005,16-10-2025,28.5,22,82,0,,,,,,,,,,,
13,6x6,3rd,07-10-2025,34,21,75,X,11:05,1.7,35.9,24,22,?,U;M,X,X,X,X
13,6x6,3rd,08-10-2025,32,21,80,X,11:05,1.1,32.7,24,22,?,U;M,X,X,X,X
13,6x6,3rd,09-10-2025,34,20,82,X,11:05,1.8,35.2,24,22,?,U;M,X,X,X,X
13,6x6,3rd,10-10-2025,32,20,78,X,11:12,2,34.2,26,23,?,U;M,X,X,X,X
13,6x6,3rd,11-10-2025,30,20,75,X,11:12,2.1,33.2,26,23,?,U;M,X,X,X,X
13,6x6,3rd,12-10-2025,28,19,80,X,11:20,0.7,32.1,25,21,?,U;M,X,X,X,X
13,6x6,3rd,13-10-2025,32,21,85,X,11:30,0.8,35.1,29,26,?,U;M,X,X,X,X
13,6x6,3rd,14-10-2025,31,18,75,X,11:30,1.6,34.3,27,24,?,U;M,X,X,X,X
13,6x6,3rd,15-10-2025,30,18,76,X,11:30,2.1,33,29,24,?,U;M,X,X,X,X
13,6x6,3rd,16-10-2025,30,18,71,X,11:30,2.1,33,29,24,?,U;M,X,X,X,X
17,6x6,3rd,17-10-2025,29,17,77,X,11:30,1.5,32,26,22,?,U;M,X,X,X,X
13,6x6,3rd,07-10-2025,34,21,75,X,11:05,1.7,35.9,24,22,Yes,U;M,0,0,0,0
13,6x6,3rd,08-10-2025,32,21,80,X,11:05,1.1,32.7,24,22,Yes,U;M,0,0,0,0
13,6x6,3rd,09-10-2025,34,20,82,X,11:05,1.8,35.2,24,22,Yes,U;M,0,0,0,0
13,6x6,3rd,10-10-2025,32,20,78,X,11:12,2,34.2,26,23,Yes,U;M,0,0,0,0
13,6x6,3rd,11-10-2025,30,20,75,X,11:12,2.1,33.2,26,23,Yes,U;M,0,0,0,0
13,6x6,3rd,12-10-2025,28,19,80,X,11:20,0.7,32.1,25,21,Yes,U;M,0,0,0,0
13,6x6,3rd,13-10-2025,32,21,85,X,11:30,0.8,35.1,29,26,Yes,U;M,0,0,0,0
13,6x6,3rd,14-10-2025,31,18,75,X,11:30,1.6,34.3,27,24,Yes,U;M,0,0,0,0
13,6x6,3rd,15-10-2025,30,18,76,X,11:30,2.1,33,29,24,Yes,U;M,0,0,0,0
13,6x6,3rd,16-10-2025,30,18,71,X,11:30,2.1,33,29,24,Yes,U;M,0,0,0,0
,,,,,,,,,,,,,,,,,,
14,6x10,3rd,07-10-2025,33,21,75,X,11:05,1.7,32.7,24,22,Yes,A;U;M,0,0,0,0
14,6x10,3rd,08-10-2025,34,21,80,X,11:05,0.7,32.7,24,22,Yes,A;U;M,0,0,0,0
14,6x10,3rd,09-10-2025,35,20,82,X,11:05,1.1,33.6,26,24,Yes,A;U;M,0,0,0,0
14,6x10,3rd,10-10-2025,33,20,75,X,11:12,2.2,33.2,26,24,Yes,A;U;M,0,0,0,0
14,6x10,3rd,11-10-2025,32,20,70,X,11:12,1.5,33.1,25,23,Yes,A;U;M,0,0,0,0
,,,,,,,,,,,,,,,,,,
20,6x6,5th,07-10-2025,32,21,75,X,11:05,1.7,33.7,24,22,No,A;U;M,0,5,0,0
20,6x6,5th,08-10-2025,28,21,80,X,11:05,1.1,32.8,24,22,No,A;U;M,0,5,0,0
20,6x6,5th,09-10-2025,27,21,80,X,11:05,1.1,32.8,24,22,No,A;U;M,0,5,0,0
20,6x6,5th,10-10-2025,32,20,75,X,11:12,2.1,33.2,26,23,No,A;U;M,0,3,0,0
,,,,,,,,,,,,,,,,,,
7,6x10,1st,07-10-2025,32,21,75,X,11:05,1.7,33.7,24,22,No,A;S;M,0,1,0,0
7,6x10,1st,08-10-2025,32,21,80,X,11:05,1.1,32.8,24,22,No,A;S;M,0,2,0,0
7,6x10,1st,09-10-2025,31,21,80,X,11:05,1.1,32.8,24,22,No,A;S;M,0,1,0,0
7,6x10,1st,10-10-2025,31,20,75,X,11:12,2.1,33.2,26,23,No,A;S;M,0,1,0,0
,,,,,,,,,,,,,,,,,,
5,10x10,3rd,07-10-2025,32,21,75,X,11:05,1.7,33.7,24,22,Yes,A;U;M,0,4,0,0
5,10x10,3rd,08-10-2025,32,21,80,X,11:05,1.1,32.8,24,22,Yes,A;U;M,0,6,0,0
5,10x10,3rd,09-10-2025,31,21,80,X,11:05,1.1,32.8,24,22,Yes,A;U;M,0,9,0,0
5,10x10,3rd,10-10-2025,32,20,75,X,11:12,2.1,33.2,26,23,Yes,A;U;M,0,15,0,0
